Sector,mse
Greenhouse gas emissions from other fuel combustion,0.03869586866757359
Greenhouse gas emissions from bunker fuels,0.04512623519855924
Greenhouse gas emissions from waste,0.018844748621079186
Greenhouse gas emissions from buildings,0.037452078686661894
Greenhouse gas emissions from industry,0.022323283509468377
Fugitive emissions of greenhouse gases from energy production,0.026266788399732528
Greenhouse gas emissions from agriculture,0.032910411649275675
Greenhouse gas emissions from manufacturing and construction,0.036739624323931665
Greenhouse gas emissions from transport,0.029183311093052562
Greenhouse gas emissions from electricity and heat,0.03215165427859879
